# fping 1.1.1.1 -D -c 100000 -i 30000 > pingtest.txt
# Monday, June 22, 2020 1:01:51 AM GMT-04:00 DST to 
# Monday, June 22, 2020 7:28:25 AM GMT-04:00 DST
# 775 samples
#
[1592802111.663263] 1.1.1.1 : [0], 84 bytes, 42.2 ms (42.2 avg, 0% loss)
[1592802141.652730] 1.1.1.1 : [1], 84 bytes, 29.1 ms (35.6 avg, 0% loss)
[1592802171.655945] 1.1.1.1 : [2], 84 bytes, 31.9 ms (34.4 avg, 0% loss)
[1592802201.656211] 1.1.1.1 : [3], 84 bytes, 28.7 ms (33.0 avg, 0% loss)
[1592802231.661342] 1.1.1.1 : [4], 84 bytes, 30.5 ms (32.5 avg, 0% loss)
[1592802261.663542] 1.1.1.1 : [5], 84 bytes, 28.1 ms (31.7 avg, 0% loss)
[1592802291.692756] 1.1.1.1 : [6], 84 bytes, 53.2 ms (34.8 avg, 0% loss)
[1592802321.666540] 1.1.1.1 : [7], 84 bytes, 25.2 ms (33.6 avg, 0% loss)
[1592802351.666745] 1.1.1.1 : [8], 84 bytes, 25.4 ms (32.7 avg, 0% loss)
[1592802381.669335] 1.1.1.1 : [9], 84 bytes, 23.8 ms (31.8 avg, 0% loss)
[1592802411.674495] 1.1.1.1 : [10], 84 bytes, 25.8 ms (31.3 avg, 0% loss)
[1592802441.676604] 1.1.1.1 : [11], 84 bytes, 25.6 ms (30.8 avg, 0% loss)
[1592802471.680474] 1.1.1.1 : [12], 84 bytes, 25.8 ms (30.4 avg, 0% loss)
[1592802501.679619] 1.1.1.1 : [13], 84 bytes, 24.6 ms (30.0 avg, 0% loss)
[1592802531.682755] 1.1.1.1 : [14], 84 bytes, 25.8 ms (29.7 avg, 0% loss)
[1592802561.684267] 1.1.1.1 : [15], 84 bytes, 26.5 ms (29.5 avg, 0% loss)
[1592802591.690961] 1.1.1.1 : [16], 84 bytes, 25.6 ms (29.3 avg, 0% loss)
[1592802621.696457] 1.1.1.1 : [17], 84 bytes, 25.5 ms (29.1 avg, 0% loss)
[1592802651.703346] 1.1.1.1 : [18], 84 bytes, 25.3 ms (28.9 avg, 0% loss)
[1592802681.708965] 1.1.1.1 : [19], 84 bytes, 25.2 ms (28.7 avg, 0% loss)
[1592802711.717788] 1.1.1.1 : [20], 84 bytes, 25.8 ms (28.5 avg, 0% loss)
[1592802741.743025] 1.1.1.1 : [21], 84 bytes, 48.6 ms (29.5 avg, 0% loss)
[1592802771.755593] 1.1.1.1 : [22], 84 bytes, 55.6 ms (30.6 avg, 0% loss)
[1592802801.751146] 1.1.1.1 : [23], 84 bytes, 46.2 ms (31.2 avg, 0% loss)
[1592802831.764922] 1.1.1.1 : [24], 84 bytes, 52.5 ms (32.1 avg, 0% loss)
[1592802861.743139] 1.1.1.1 : [25], 84 bytes, 30.6 ms (32.0 avg, 0% loss)
[1592802891.765083] 1.1.1.1 : [26], 84 bytes, 50.6 ms (32.7 avg, 0% loss)
[1592802921.753870] 1.1.1.1 : [27], 84 bytes, 35.4 ms (32.8 avg, 0% loss)
[1592802951.776033] 1.1.1.1 : [28], 84 bytes, 50.3 ms (33.4 avg, 0% loss)
[1592802981.762567] 1.1.1.1 : [29], 84 bytes, 34.4 ms (33.5 avg, 0% loss)
[1592803011.759599] 1.1.1.1 : [30], 84 bytes, 23.9 ms (33.1 avg, 0% loss)
[1592803041.763403] 1.1.1.1 : [31], 84 bytes, 27.4 ms (33.0 avg, 0% loss)
[1592803071.792697] 1.1.1.1 : [32], 84 bytes, 51.9 ms (33.5 avg, 0% loss)
[1592803101.770438] 1.1.1.1 : [33], 84 bytes, 28.1 ms (33.4 avg, 0% loss)
[1592803131.794727] 1.1.1.1 : [34], 84 bytes, 50.1 ms (33.9 avg, 0% loss)
[1592803161.792401] 1.1.1.1 : [35], 84 bytes, 39.9 ms (34.0 avg, 0% loss)
[1592803191.804412] 1.1.1.1 : [36], 84 bytes, 46.7 ms (34.4 avg, 0% loss)
[1592803221.818682] 1.1.1.1 : [37], 84 bytes, 52.4 ms (34.8 avg, 0% loss)
[1592803251.795024] 1.1.1.1 : [38], 84 bytes, 24.5 ms (34.6 avg, 0% loss)
[1592803281.798159] 1.1.1.1 : [39], 84 bytes, 25.4 ms (34.3 avg, 0% loss)
[1592803311.804410] 1.1.1.1 : [40], 84 bytes, 25.0 ms (34.1 avg, 0% loss)
[1592803341.807249] 1.1.1.1 : [41], 84 bytes, 25.1 ms (33.9 avg, 0% loss)
[1592803371.814848] 1.1.1.1 : [42], 84 bytes, 25.4 ms (33.7 avg, 0% loss)
[1592803401.823307] 1.1.1.1 : [43], 84 bytes, 25.6 ms (33.5 avg, 0% loss)
[1592803431.826918] 1.1.1.1 : [44], 84 bytes, 25.2 ms (33.3 avg, 0% loss)
[1592803461.829127] 1.1.1.1 : [45], 84 bytes, 25.0 ms (33.2 avg, 0% loss)
[1592803491.837509] 1.1.1.1 : [46], 84 bytes, 26.0 ms (33.0 avg, 0% loss)
[1592803521.840302] 1.1.1.1 : [47], 84 bytes, 25.7 ms (32.9 avg, 0% loss)
[1592803551.841802] 1.1.1.1 : [48], 84 bytes, 24.3 ms (32.7 avg, 0% loss)
[1592803581.849590] 1.1.1.1 : [49], 84 bytes, 26.3 ms (32.6 avg, 0% loss)
[1592803611.849364] 1.1.1.1 : [50], 84 bytes, 24.3 ms (32.4 avg, 0% loss)
[1592803641.855068] 1.1.1.1 : [51], 84 bytes, 26.0 ms (32.3 avg, 0% loss)
[1592803671.859880] 1.1.1.1 : [52], 84 bytes, 25.0 ms (32.1 avg, 0% loss)
[1592803701.861270] 1.1.1.1 : [53], 84 bytes, 26.3 ms (32.0 avg, 0% loss)
[1592803731.865675] 1.1.1.1 : [54], 84 bytes, 24.5 ms (31.9 avg, 0% loss)
[1592803761.869798] 1.1.1.1 : [55], 84 bytes, 25.5 ms (31.8 avg, 0% loss)
[1592803791.878191] 1.1.1.1 : [56], 84 bytes, 25.8 ms (31.7 avg, 0% loss)
[1592803821.886593] 1.1.1.1 : [57], 84 bytes, 25.0 ms (31.5 avg, 0% loss)
[1592803851.894675] 1.1.1.1 : [58], 84 bytes, 25.3 ms (31.4 avg, 0% loss)
[1592803881.901596] 1.1.1.1 : [59], 84 bytes, 25.3 ms (31.3 avg, 0% loss)
[1592803911.904050] 1.1.1.1 : [60], 84 bytes, 24.5 ms (31.2 avg, 0% loss)
[1592803941.908901] 1.1.1.1 : [61], 84 bytes, 25.0 ms (31.1 avg, 0% loss)
[1592803971.911825] 1.1.1.1 : [62], 84 bytes, 25.1 ms (31.0 avg, 0% loss)
[1592804001.919994] 1.1.1.1 : [63], 84 bytes, 25.7 ms (30.9 avg, 0% loss)
[1592804031.928342] 1.1.1.1 : [64], 84 bytes, 25.7 ms (30.9 avg, 0% loss)
