# fping 1.1.1.1 -D -c 100000 -i 30000 > pingtest.txt
# Monday, June 22, 2020 7:35:31 AM GMT-04:00 DST to
# Tuesday, June 23, 2020 11:02:53 PM GMT-04:00 DST
# Interruption Tuesday, June 23, 2020 1:43:17 PM GMT-04:00 DST to Tuesday, June 23, 2020 3:16:55 PM GMT-04:00 DST to 
# 4041 samples
#
[1592825731.920487] 1.1.1.1 : [0], 84 bytes, 33.2 ms (33.2 avg, 0% loss)
[1592825761.924326] 1.1.1.1 : [1], 84 bytes, 32.7 ms (33.0 avg, 0% loss)
[1592825791.928652] 1.1.1.1 : [2], 84 bytes, 32.6 ms (32.8 avg, 0% loss)
[1592825821.934550] 1.1.1.1 : [3], 84 bytes, 33.5 ms (33.0 avg, 0% loss)
[1592825851.951353] 1.1.1.1 : [4], 84 bytes, 47.7 ms (35.9 avg, 0% loss)
[1592825881.941874] 1.1.1.1 : [5], 84 bytes, 33.3 ms (35.5 avg, 0% loss)
[1592825911.946393] 1.1.1.1 : [6], 84 bytes, 33.0 ms (35.1 avg, 0% loss)
[1592825941.952465] 1.1.1.1 : [7], 84 bytes, 34.0 ms (35.0 avg, 0% loss)
[1592825971.955455] 1.1.1.1 : [8], 84 bytes, 32.5 ms (34.7 avg, 0% loss)
[1592826001.958460] 1.1.1.1 : [9], 84 bytes, 33.3 ms (34.6 avg, 0% loss)
[1592826031.957205] 1.1.1.1 : [10], 84 bytes, 31.9 ms (34.3 avg, 0% loss)
[1592826061.962708] 1.1.1.1 : [11], 84 bytes, 33.4 ms (34.3 avg, 0% loss)
[1592826091.963951] 1.1.1.1 : [12], 84 bytes, 32.8 ms (34.1 avg, 0% loss)
[1592826121.968038] 1.1.1.1 : [13], 84 bytes, 33.1 ms (34.1 avg, 0% loss)
[1592826151.970244] 1.1.1.1 : [14], 84 bytes, 32.9 ms (34.0 avg, 0% loss)
[1592826181.969693] 1.1.1.1 : [15], 84 bytes, 32.1 ms (33.9 avg, 0% loss)
[1592826211.972000] 1.1.1.1 : [16], 84 bytes, 32.3 ms (33.8 avg, 0% loss)
[1592826241.978724] 1.1.1.1 : [17], 84 bytes, 33.7 ms (33.8 avg, 0% loss)
[1592826271.983782] 1.1.1.1 : [18], 84 bytes, 34.4 ms (33.8 avg, 0% loss)
[1592826301.988204] 1.1.1.1 : [19], 84 bytes, 33.1 ms (33.8 avg, 0% loss)
[1592826331.996622] 1.1.1.1 : [20], 84 bytes, 33.2 ms (33.7 avg, 0% loss)
[1592826362.014124] 1.1.1.1 : [21], 84 bytes, 40.5 ms (34.0 avg, 0% loss)
[1592826392.013222] 1.1.1.1 : [22], 84 bytes, 33.0 ms (34.0 avg, 0% loss)
[1592826422.022979] 1.1.1.1 : [23], 84 bytes, 33.3 ms (34.0 avg, 0% loss)
[1592826452.028494] 1.1.1.1 : [24], 84 bytes, 34.6 ms (34.0 avg, 0% loss)
[1592826482.037116] 1.1.1.1 : [25], 84 bytes, 34.2 ms (34.0 avg, 0% loss)
[1592826512.041877] 1.1.1.1 : [26], 84 bytes, 32.3 ms (33.9 avg, 0% loss)
[1592826542.047509] 1.1.1.1 : [27], 84 bytes, 32.1 ms (33.9 avg, 0% loss)
[1592826572.050190] 1.1.1.1 : [28], 84 bytes, 33.4 ms (33.9 avg, 0% loss)
[1592826602.056592] 1.1.1.1 : [29], 84 bytes, 31.9 ms (33.8 avg, 0% loss)
[1592826632.066250] 1.1.1.1 : [30], 84 bytes, 32.3 ms (33.7 avg, 0% loss)
[1592826662.073810] 1.1.1.1 : [31], 84 bytes, 33.4 ms (33.7 avg, 0% loss)
[1592826692.080925] 1.1.1.1 : [32], 84 bytes, 32.4 ms (33.7 avg, 0% loss)
[1592826722.089772] 1.1.1.1 : [33], 84 bytes, 32.4 ms (33.7 avg, 0% loss)
[1592826752.098810] 1.1.1.1 : [34], 84 bytes, 39.7 ms (33.8 avg, 0% loss)
